,City,Cloud Cover,Country,Dates,Humidity,Lat,Long,Highest Temp,Wind Speed
121,talnakh,75,RU,1569722444,95,69.49,88.39,32.0,4.47
122,jamestown,0,AU,1569722347,31,-33.21,138.6,71.13,6.55
123,nyurba,68,RU,1569722444,66,63.29,118.35,38.17,5.21
124,faya,40,SA,1569722445,59,18.39,42.45,66.2,4.7
125,wuxi,0,CN,1569722445,50,31.58,120.3,93.0,3.91
126,victoria,75,BN,1569722446,79,5.28,115.24,84.2,3.36
127,airai,38,TL,1569722446,52,-8.93,125.41,83.83,7.54
128,cidreira,0,BR,1569722446,77,-30.17,-50.22,61.33,15.64
129,castro,90,CL,1569722446,93,-42.48,-73.76,46.4,11.41
130,atar,0,MR,1569722447,26,20.52,-13.05,90.53,5.66
131,bermeo,0,ES,1569722447,100,43.42,-2.72,60.01,3.36
132,katherine,9,AU,1569722447,31,-14.47,132.26,91.4,11.41
133,pevek,100,RU,1569722448,97,69.7,170.27,33.94,26.17
134,jovellar,100,PH,1569722448,74,13.07,123.6,84.36,9.91
135,mogadishu,82,SO,1569722448,88,2.04,45.34,75.68,10.65
136,guerrero negro,0,AR,1569722449,36,-24.19,-65.45,75.2,5.82
137,lyubech,100,UA,1569722449,98,51.7,30.66,49.36,4.85
138,sistranda,0,NO,1569722449,93,63.73,8.83,55.0,2.24
139,itarema,3,BR,1569722450,92,-2.92,-39.92,73.56,7.2
140,kapaa,75,US,1569722359,70,22.08,-159.32,87.8,11.41
141,leshukonskoye,100,RU,1569722450,92,64.9,45.76,41.23,9.73
142,deputatskiy,92,RU,1569722451,84,69.3,139.9,25.64,3.27
143,kedrovyy,0,RU,1569722451,84,56.17,91.82,39.2,6.71
144,mar del plata,52,CN,1569722451,63,29.86,90.73,40.36,5.61
145,nhulunbuy,0,AU,1569722452,48,-12.18,136.78,86.0,11.41
146,qaanaaq,0,GL,1569722452,68,77.48,-69.36,27.73,7.05
147,port blair,67,CD,1569722452,55,-7.04,29.76,64.16,3.31
148,luderitz,94,NA,1569722453,93,-26.65,15.16,57.2,3.36
149,anloga,20,GH,1569722453,88,5.79,0.9,78.8,10.29
150,kolobrzeg,62,PL,1569722388,85,54.18,15.58,55.99,28.41
151,riyadh,0,SA,1569722410,36,24.63,46.72,80.6,2.82
152,lysva,100,RU,1569722454,92,58.11,57.8,32.03,7.2
153,saint-philippe,90,CA,1569722454,88,45.36,-73.48,63.0,6.93
154,touros,40,BR,1569722454,78,-5.2,-35.46,77.0,9.17
155,south sioux city,1,US,1569722322,68,37.33,-86.36,79.0,3.94
156,avera,1,US,1569722455,65,33.19,-82.53,82.99,9.17
157,jardim,1,BR,1569722455,43,-21.48,-56.15,73.36,3.13
158,nome,40,US,1569722456,83,30.04,-94.42,82.99,4.7
159,qaqortoq,15,GL,1569722456,49,60.72,-46.03,48.2,12.75
160,hecun,0,CN,1569722456,53,29.94,119.31,80.2,2.73
161,laguna,40,BZ,1569722457,88,16.17,-88.94,80.6,2.13
162,redcar,100,GB,1569722457,93,54.62,-1.06,54.0,5.82
163,roald,100,NO,1569722457,93,62.58,6.12,50.0,3.36
164,japura,82,ID,1569722458,82,-0.42,102.29,82.03,3.24
165,constantine,0,DZ,1569722458,87,36.36,6.61,60.8,2.24
166,husavik,100,CA,1569722458,63,50.56,-96.99,46.0,7.07
167,bucarasica,75,CO,1569722459,69,8.04,-72.87,78.8,9.17
168,oxford,1,US,1569722459,65,33.61,-85.83,80.6,4.63
169,katsuura,75,JP,1569722460,78,33.93,134.5,84.0,2.24
170,souillac,0,FR,1569722460,93,45.6,-0.6,57.0,3.36
171,vila velha,20,IT,1569722460,100,45.18,8.4,64.99,5.82
172,port elizabeth,67,CD,1569722433,55,-7.04,29.76,64.16,3.31
173,palauig,92,PH,1569722461,73,15.44,119.9,84.0,8.1
174,tessalit,0,ML,1569722461,14,20.2,1.01,88.12,6.67
175,cabo san lucas,29,ES,1569722462,87,43.18,-5.8,57.99,4.7
176,santiago del estero,100,PH,1569722462,69,16.69,121.54,85.13,2.71
177,kukmor,72,RU,1569722462,92,56.19,50.9,32.17,5.39
178,batagay,0,RU,1569722462,58,67.65,134.64,34.66,7.58
179,dakoro,0,NE,1569722463,39,14.51,6.76,86.3,7.2
180,acari,1,BR,1569722463,78,-6.44,-36.64,72.22,10.76
181,san isidro,0,ML,1569722419,60,13.3,-4.9,80.65,8.84
182,metro,42,ID,1569722464,49,-5.11,105.31,87.97,7.05
183,ponta do sol,69,BR,1569722464,94,-0.53,-65.05,73.61,2.42
184,kaeo,100,NZ,1569722464,60,-35.1,173.78,68.0,10.0
185,ibotirama,77,BR,1569722465,46,-12.18,-43.22,77.57,2.57
186,alamos,0,AR,1569722465,84,-36.9,-62.36,60.43,6.4
187,barrow,0,AR,1569722465,78,-38.31,-60.23,61.21,13.76
188,kaseda,75,JP,1569722466,74,31.42,130.32,78.8,3.36
189,tautira,40,PF,1569722466,70,-17.73,-149.15,84.2,11.41
190,margate,40,AU,1569722466,43,-43.03,147.26,55.4,14.99
191,fond du lac,86,BE,1569722467,76,50.44,4.8,60.01,14.99
192,eydhafushi,100,MV,1569722467,77,5.1,73.07,81.58,11.41
193,konza,0,KE,1569722467,87,-1.74,37.13,59.0,5.82
194,college,1,US,1569722468,37,64.86,-147.8,51.8,2.59
195,simao,0,CN,1569722468,53,22.76,100.79,78.72,1.14
196,watsa,0,CD,1569722468,98,3.04,29.53,63.91,1.23
197,ginda,100,IN,1569722469,92,30.69,78.49,57.86,1.07
198,marawi,72,PH,1569722469,77,8.0,124.29,82.99,5.99
199,isangel,90,VU,1569722469,69,-19.55,169.27,80.6,13.87
200,port-gentil,100,GA,1569722470,85,-0.72,8.78,77.75,17.67
201,healdsburg,1,US,1569722470,59,38.61,-122.87,66.2,16.11
202,ewa beach,100,CM,1569722470,99,5.76,9.91,69.22,2.44
203,lodja,76,CD,1569722471,98,-3.52,23.6,68.62,1.92
204,rock sound,90,GB,1569722471,100,52.34,-2.39,61.0,10.29
205,northam,0,AU,1569722180,56,-31.65,116.67,71.6,5.82
206,launceston,10,AU,1569722472,41,-41.43,147.14,60.01,10.29
207,dong hoi,100,CM,1569722472,99,4.89,12.01,68.44,4.09
208,seoul,1,KR,1569722472,83,37.57,126.98,75.2,4.7
209,kharhial,100,IN,1569722473,95,20.28,82.77,70.89,5.7
210,sora,3,IT,1569722473,90,41.72,13.61,66.99,1.01
211,dalhousie,90,CA,1569722473,93,48.06,-66.37,55.4,2.24
212,severo-kurilsk,69,RU,1569722474,86,50.68,156.12,49.4,6.62
213,atherton,0,AU,1569722474,51,-17.27,145.48,84.99,9.17
214,vinh,0,VN,1569722474,59,18.67,105.69,81.94,4.05
215,algiers,1,US,1569722475,65,29.94,-90.04,84.2,9.17
216,bac lieu,20,RS,1569722475,93,45.39,19.24,55.4,2.24
217,fortuna,20,ES,1569722475,88,38.18,-1.13,71.01,3.36
218,mitsamiouli,94,KM,1569722476,79,-11.38,43.28,79.33,1.23
219,lukovetskiy,20,RU,1569722476,93,64.29,41.92,39.2,6.71
220,agadir,20,MA,1569722476,93,30.42,-9.58,62.6,5.82
221,sao filipe,100,IN,1569722439,81,20.51,76.21,75.86,3.13
222,clyde river,71,NZ,1569722477,41,-45.19,169.32,63.0,8.01
223,mmathubudukwane,0,BW,1569722477,16,-24.61,26.43,62.6,3.36
224,vardo,1,US,1569722477,69,39.62,-77.74,77.0,2.57
225,kupang,40,ID,1569722478,69,-10.16,123.6,80.6,4.7
226,bira,0,RU,1569722478,48,49.0,132.47,51.11,15.17
227,siniscola,0,IT,1569722478,93,40.57,9.69,64.4,3.36
228,pangkalanbuun,72,ID,1569722410,48,-2.68,111.62,90.64,4.16
229,ribeira grande,20,PT,1569722479,93,41.76,-8.56,63.0,8.05
230,iqaluit,90,CA,1569722479,93,63.75,-68.52,39.2,6.93
231,yelan-kolenovskiy,15,RU,1569722479,73,51.16,41.15,45.39,5.19
232,antalaha,97,MG,1569722480,98,-14.9,50.28,66.1,1.61
233,bowen,0,AU,1569722480,48,-20.01,148.25,84.2,6.93
234,sardhana,100,IN,1569722480,90,29.15,77.61,72.64,8.52
235,hay river,0,AU,1569722481,37,-34.51,144.84,64.95,13.62
236,balsas,0,BR,1569722424,77,-7.53,-46.04,75.73,2.53
237,ostrovnoy,100,RU,1569722481,95,68.05,39.51,40.33,2.84
238,pitrufquen,75,CL,1569722481,81,-38.98,-72.65,53.6,3.36
239,mosetse,2,BW,1569722482,18,-20.64,26.64,55.16,8.9
240,cherskiy,96,RU,1569722482,74,68.75,161.3,33.56,8.93
241,sao felix do xingu,100,IN,1569722482,81,20.51,76.21,75.86,3.13
242,mackay,90,CA,1569722483,84,53.65,-115.58,32.0,8.05
243,goderich,11,CA,1569722483,86,43.74,-81.71,61.0,14.0
244,ponta delgada,69,BR,1569722483,94,-0.53,-65.05,73.61,2.42
245,sinazongwe,17,ZM,1569722484,19,-17.26,27.46,56.98,2.35
246,dickinson,90,US,1569722484,87,46.88,-102.79,42.8,18.34
247,saint-augustin,75,CA,1569722484,100,45.63,-73.98,62.6,3.36
248,muros,75,ES,1569722485,87,42.77,-9.06,64.99,5.82
249,yichun,0,CN,1569722485,40,47.72,128.88,53.52,7.74
250,takoradi,100,GH,1569722485,96,4.89,-1.75,74.13,4.16
251,esperance,90,AU,1569722486,82,-33.86,121.89,57.2,10.29
252,paraguacu,0,BR,1569722486,86,-21.55,-45.74,60.83,5.7
253,zhangjiakou,0,CN,1569722487,42,40.77,114.88,65.38,7.63
254,yangambi,100,CD,1569722487,99,0.77,24.47,69.15,1.45
255,orsha,100,BY,1569722487,97,54.51,30.43,51.06,8.21
256,mastic,40,US,1569722487,83,40.8,-72.84,73.0,5.82
257,camacha,40,PT,1569722488,77,33.08,-16.33,69.8,8.05
258,jalu,0,LY,1569722488,59,29.03,21.55,73.03,4.52
259,coronado,40,PA,1569722488,78,8.53,-79.9,84.0,4.7
260,belen,1,US,1569722489,27,34.66,-106.78,77.0,17.22
261,oistins,20,BB,1569722489,78,13.07,-59.53,82.4,11.41
262,villa carlos paz,89,IT,1569722489,93,46.06,11.52,64.99,3.36
263,beringovskiy,99,RU,1569722490,87,63.05,179.32,43.15,5.32
264,salinas,0,US,1569722193,48,36.67,-121.66,64.4,13.87
265,tuatapere,93,NZ,1569722490,68,-46.13,167.69,57.0,11.01
266,ligayan,46,PH,1569722491,66,4.65,119.47,83.67,4.23
267,caraz,49,PE,1569722491,75,-9.05,-77.81,51.36,1.81
268,vao,100,EE,1569722492,95,59.1,26.19,49.72,8.61
269,aripuana,100,BR,1569722492,89,-9.17,-60.63,74.74,0.85
270,salalah,75,OM,1569722492,83,17.01,54.1,80.6,5.82
271,loa janan,0,US,1569722492,60,38.4,-111.64,50.39,20.27
272,zlocieniec,100,PL,1569722493,94,53.53,16.01,55.0,1.99
273,vypolzovo,98,RU,1569722493,76,54.52,40.18,41.0,5.01
274,lasa,0,CY,1569722493,82,34.92,32.53,69.8,5.82
275,kodiak,90,US,1569722494,100,39.95,-94.76,63.0,14.99
276,meulaboh,61,ID,1569722494,79,4.14,96.13,79.46,4.79
277,bundaberg,33,AU,1569722232,45,-24.87,152.35,84.2,6.93
278,egvekinot,98,RU,1569722495,100,66.32,-179.17,35.79,3.04
279,minab,40,IR,1569722495,84,27.15,57.07,89.6,6.93
280,vostok,95,RU,1569722492,89,46.45,135.83,59.34,7.76
281,chuy,0,UY,1569722496,88,-33.69,-53.46,55.2,9.93
282,hun,86,BE,1569722496,76,50.34,4.87,59.0,14.99
283,vestmannaeyjar,0,IS,1569722496,86,63.44,-20.27,49.02,6.17
284,kopayhorod,100,UA,1569722497,94,48.86,27.8,55.99,10.02
285,bulawayo,0,ZW,1569722497,26,-20.16,28.59,51.58,3.74
286,tjome,90,NO,1569722498,100,59.11,10.39,52.0,5.82
287,plettenberg bay,100,DE,1569722498,82,51.21,7.87,61.0,12.75
288,pemba,0,MZ,1569722498,83,-12.97,40.52,73.93,10.4
289,norman wells,1,US,1569722249,78,35.22,-97.44,82.4,8.05
290,ancud,90,CL,1569722470,93,-41.87,-73.83,46.4,11.41
291,shingu,40,JP,1569722499,78,33.72,135.99,78.8,5.82
292,east london,23,UG,1569722499,90,3.43,31.7,66.72,0.98
293,ginir,36,ET,1569722500,90,7.14,40.71,58.24,2.89
294,wanning,20,AT,1569722500,100,48.64,13.53,54.0,1.12
295,lagos,100,NG,1569722500,95,6.46,3.39,74.29,3.94
296,abu samrah,75,JP,1569722501,74,34.51,131.49,81.0,5.82
297,homer,90,US,1569722501,76,59.64,-151.54,51.8,20.98
298,rio gallegos,90,US,1569722501,93,41.11,-90.4,63.0,13.87
299,bossangoa,100,CF,1569722501,97,6.5,17.45,69.58,2.46
300,dhandhuka,100,IN,1569722502,93,22.38,71.98,75.37,18.54
301,poronaysk,42,RU,1569722502,36,49.22,143.1,78.76,10.13
302,marsaxlokk,20,MT,1569722503,88,35.84,14.54,72.0,5.82
303,calabozo,0,VE,1569722503,93,8.92,-67.43,74.67,4.05
304,teya,20,MX,1569722504,70,21.05,-89.07,86.0,6.93
305,anzio,20,IT,1569722504,88,41.45,12.63,69.01,4.7
306,mount darwin,75,GB,1569722504,93,53.66,-1.85,55.0,11.41
307,anjiang,0,CN,1569722505,39,27.32,110.14,88.06,1.54
308,ludwigslust,100,DE,1569722505,94,53.33,11.5,60.01,10.0
309,ulundi,100,ZA,1569722505,35,-28.29,31.43,55.66,5.59
310,vestmanna,100,FO,1569722506,93,62.16,-7.17,50.0,8.05
311,prince rupert,90,CA,1569722506,55,52.97,-108.38,37.99,5.82
312,fethiye,0,TR,1569722507,60,36.62,29.12,70.0,3.36
313,halifax,40,CA,1569722208,76,44.65,-63.58,57.99,11.41
314,tres lagoas,90,IT,1569722507,93,46.32,11.1,61.0,8.05
315,gigmoto,100,PH,1569722508,70,13.78,124.39,84.9,5.66
316,ladario,21,PT,1569722508,96,40.7,-7.74,55.99,0.58
317,dongsheng,0,CN,1569722508,32,29.72,112.52,85.35,4.79
318,paragominas,79,BR,1569722509,85,-3.0,-47.35,74.17,4.56
319,north bend,100,NG,1569722509,95,4.97,7.66,72.76,4.32
320,sokoni,82,CD,1569722509,34,-12.89,28.78,54.35,4.32
321,udachnyy,40,RU,1569722510,92,66.42,112.4,24.8,4.47
322,lafiagi,94,NG,1569722510,93,8.85,5.42,73.95,8.34
323,voskresenskoye,100,RU,1569722510,79,56.84,45.43,36.84,3.85
324,bilma,0,NE,1569722511,13,18.69,12.92,86.91,11.81
325,shirokiy,10,RU,1569722511,79,53.87,39.17,39.99,8.39
326,shwebo,100,MM,1569722511,75,22.57,95.7,81.6,3.49
327,narsaq,15,GL,1569722512,49,60.91,-46.05,48.2,12.75
328,riverton,90,US,1569722512,100,43.02,-108.38,51.8,7.76
329,shugurovo,97,RU,1569722513,78,54.51,52.13,36.62,3.2
330,elblag,90,PL,1569722513,93,54.15,19.41,55.0,11.41
331,bonthe,92,SL,1569722513,93,7.53,-12.5,74.85,2.8
332,chokurdakh,100,RU,1569722513,88,70.62,147.9,30.91,3.91
333,waddan,0,LY,1569722514,89,29.16,16.14,66.39,2.46
334,chapais,90,CA,1569722498,80,49.78,-74.86,41.0,5.82
335,mayumba,100,GA,1569722515,86,-3.44,10.65,75.82,12.59
336,thompson,20,CA,1569722515,86,55.74,-97.86,33.8,5.82
337,dewas,74,IN,1569722515,89,22.96,76.05,74.22,6.87
338,maun,0,BW,1569722516,26,-19.99,23.42,57.2,2.24
339,hasaki,75,JP,1569722501,83,35.73,140.83,81.0,6.93
340,sambava,100,MG,1569722516,98,-14.27,50.17,69.11,2.33
341,pouebo,98,NC,1569722516,56,-20.4,164.57,77.53,0.74
342,recke,100,DE,1569722517,87,52.37,7.72,57.99,10.29
343,viseu,0,PT,1569722517,100,40.66,-7.91,57.0,1.12
344,conde,9,BR,1569722517,97,-11.81,-37.61,68.84,3.27
345,fort nelson,100,IN,1569722518,90,17.96,79.61,75.3,7.31
346,tual,100,ID,1569722518,85,-5.67,132.75,78.4,13.76
347,abu dhabi,75,JP,1569722518,74,34.51,131.49,81.0,5.82
348,quelimane,0,MZ,1569722519,88,-17.88,36.89,64.4,5.82
349,aswan,0,EG,1569722519,36,24.09,32.9,76.33,9.6
350,lazarev,100,RU,1569722519,81,52.23,141.51,58.63,13.2
351,jalpan,100,MX,1569722519,99,19.0,-100.36,63.0,3.0
352,caravelas,100,BR,1569722460,83,-17.73,-39.27,73.79,11.97
353,monrovia,75,LR,1569722520,94,6.33,-10.8,77.0,2.51
354,seara,0,BR,1569722489,56,-27.15,-52.31,69.8,2.89
355,santa cruz,100,PH,1569722436,76,17.49,120.43,82.83,2.08
356,bako,1,BF,1569722521,79,12.29,-0.73,76.58,8.3
357,fairbanks,1,US,1569722521,37,64.84,-147.72,51.8,2.59
358,manbij,0,SY,1569722521,42,36.53,37.96,66.2,6.58
359,winnemucca,90,US,1569722257,75,40.97,-117.74,42.8,3.36
360,rundu,19,NA,1569722522,30,-17.91,19.77,53.6,1.12
361,along,100,IN,1569722522,94,28.17,94.8,56.29,2.44
362,waipawa,1,NZ,1569722523,72,-39.94,176.59,61.0,3.0
363,pochutla,100,MX,1569722523,96,15.74,-96.47,73.0,4.47
364,rincon,75,PA,1569722523,94,8.46,-82.28,77.0,2.24
365,bendigo,94,AU,1569722524,60,-36.76,144.28,62.01,5.01
366,puerto narino,90,AR,1569722524,81,-51.62,-69.23,42.8,13.87
367,martyush,91,RU,1569722524,82,56.4,61.89,31.11,12.08
368,upernavik,21,GL,1569722525,67,72.79,-56.15,41.53,9.26
369,menongue,6,AO,1569722525,35,-14.66,17.68,54.03,3.38
370,san joaquin,0,ML,1569722402,60,13.3,-4.9,80.65,8.84
371,tommot,0,RU,1569722526,57,58.97,126.27,38.94,5.55
372,laurel,1,US,1569722526,88,39.1,-76.85,78.01,2.48
373,kulhudhuffushi,100,MV,1569722526,68,6.62,73.07,83.1,7.45
374,lensk,100,RU,1569722527,83,60.71,114.91,34.71,6.98
375,gat,0,SN,1569722527,88,14.69,-16.54,78.8,8.05
376,orta nova,0,TR,1569722527,70,40.63,33.11,46.4,2.24
377,lazaro cardenas,0,MX,1569722528,60,29.05,-111.04,84.99,8.01
378,rantepao,45,ID,1569722528,52,-2.97,119.9,76.38,5.19
379,seydi,27,NE,1569722528,50,13.34,7.75,82.54,8.86
380,ruwi,0,OM,1569722529,41,23.6,58.55,95.0,12.75
381,boende,100,CD,1569722529,99,-0.28,20.88,70.21,3.27
382,xining,0,CN,1569722428,38,36.62,101.77,69.01,5.84
383,valley city,90,DE,1569722530,81,47.9,11.78,53.01,8.05
384,coihaique,20,CL,1569722530,81,-45.58,-72.07,42.8,10.29
385,port-cartier,90,CA,1569722530,100,50.03,-66.88,48.99,3.36
386,tateyama,75,JP,1569722531,65,36.66,137.31,82.99,3.36
387,constitucion,90,MX,1569722531,52,23.99,-104.67,69.8,4.7
